# id	name	description	rgb
27141	Breka Overlord Jaka	Level 36* Quest Monster	FF5555
27142	Breka Overlord Marka	Level 36* Quest Monster	FF5555
27143	Windsus Aleph	Level 42* Quest Monster	FF5555
27144	Tarlk Raider Athu	Level 48* Quest Monster	FF5555
27145	Tarlk Raider Lanka	Level 48* Quest Monster	FF5555
27146	Tarlk Raider Triska	Level 48* Quest Monster	FF5555
27147	Tarlk Raider Motura	Level 48* Quest Monster	FF5555
27148	Tarlk Raider Kalath	Level 48* Quest Monster	FF5555
27149	Gremlin Filcher	Level 12* Quest Monster	FF5555
27150	Black Legion Stormtrooper	Level 43* Quest Monster	FF5555
27151	Delu Lizardman Headhunter	Level 28* Quest Monster	FF5555
27152	Marsh Stakato Marquess	Level 35* Quest Monster	FF5555
27153	Alexandro Sanches	Level 3 Dark Lord	A9E89C
27154	Bonaparterius	Level 3 Abyss King	A9E89C
27155	Ramsebalius	Level 3 Evil Overlord	A9E89C
27156	Leto Shaman Ketz	Level 40* Quest Monster	FF5555
27157	Leto Chief Narak	Level 41* Quest Monster	FF5555
27158	Timak Raider Kaikee	Level 43* Quest Monster	FF5555
27159	Timak Overlord Okun	Level 46* Quest Monster	FF5555
27160	Gok Magok	Level 43* Grandis Chief	FF5555
27161	Taik Overlord Kakran	Level 45* Quest Monster	FF5555
27162	Hatar Chieftain Kubel	Level 52* Quest Monster	FF5555
27163	Vanor Elder Kerunos	Level 51* Quest Monster	FF5555
27164	Karul Chief Orooto	Level 43* Quest Monster	FF5555
27165	Abyssal Jewel 1	Level 60 Quest Monster	FF8000
27166	Abyssal Jewel 2	Level 60 Quest Monster	FF8000
27167	Abyssal Jewel 3	Level 60 Quest Monster	FF8000
27168	Jewel Guardian Mara	Level 53* Quest Monster	FF5555
27169	Jewel Guardian Musfel	Level 53* Quest Monster	FF5555
27170	Jewel Guardian Pyton	Level 58* Quest Monster	FF5555
27171	Sacrifice Of The Sacrificed	Level 20 Quest Monster	FF8000
27172	Harit Lizardman Zealot	Level 55* Quest Monster	FF5555
27173	Box Of Athrea 1	Level 50 Quest Monster	FF8000
27174	Box Of Athrea 2	Level 50 Quest Monster	FF8000
27175	Box Of Athrea 3	Level 50 Quest Monster	FF8000
27176	Box Of Athrea 4	Level 50 Quest Monster	FF8000
27177	Box Of Athrea 5	Level 50 Quest Monster	FF8000
27178	Blitz Wyrm	Level 60* Quest Monster	FF5555
27179	Grave Keymaster	Level 65 Quest Monster	FF8000
27180	Imperial Slave	Level 56* Quest Monster	FF5555
27181	Imperial Gravekeeper	Level 60 Quest Monster	FF8000
27182	Ark Guardian Elberoth	Level 60 Quest Monster	FF8000
27183	Ark Guardian Shadowfang	Level 60 Quest Monster	FF8000
27184	Angel Killer	Level 60 Quest Monster	FF8000
27185	Fairy Tree of Wind	Quest Monster	FF8000
27186	Fairy Tree of Star	Quest Monster	FF8000
27187	Fairy Tree of Twilight	Quest Monster	FF8000
27188	Fairy Tree of Abyss	Quest Monster	FF8000
27189	Soul of Tree Guardian	Level 50* Quest Monster	FF5555
27190	Ol Mahum Support Troop	Level 26* Quest Monster	FF5555
27191	Malcom	Level 25* Quest Monster	FF5555
27192	Succubus Handmaiden	Level 18* Quest Monster	FF5555
27193	Goblin Servant	Level 12* Quest Monster	FF5555
27194	Julie the Ripper	Level 40* Quest Monster	FF5555
27195	Male Ant	Level 32 Quest Monster	FF8000
27196	Bluebacked Alligator	Level 40* Quest Monster	FF5555
27197	Bejewelled Alligator	Level 40* Quest Monster	FF5555
27199	Crimson Werewolf	Level 36 Quest Monster	FF8000
27200	Krudel Lizardman	Level 36 Quest Monster	FF8000
27201			FF8000
27202			FF8000
27203			FF8000
27204			FF8000
27205			FF8000
27206			FF8000
27207			FF8000
27208			FF8000
27209			FF8000
27210			FF8000
27211			FF8000
27212			FF8000
27213			FF8000
27214	Guardian of Forbidden Knowledge	Level 76 Quest Monster	FF8000
27215	Guardian of Forbidden Knowledge	Level 76 Quest Monster	FF8000
27216	Guardian of Forbidden Knowledge	Level 76 Quest Monster	FF8000
27217	Soul of Well	Level 63* Quest Monster	FF5555
27218	Triol's Pawn	Level 65* Quest Monster	FF5555
27219	Archon of Halisha Level 76*	Quest Monster	FF8000
27220	Archon of Halisha Level 76*	Quest Monster	FF8000
27221	Archon of Halisha Level 76*	Quest Monster	FF8000
27222	Archon of Halisha Level 76*	Quest Monster	FF8000
27223	Archon of Halisha Level 76*	Quest Monster	FF8000
27224	Archon of Halisha Level 76*	Quest Monster	FF8000
27225	Archon of Halisha Level 76*	Quest Monster	FF8000
27226	Archon of Halisha Level 76*	Quest Monster	FF8000
27227	Archon of Halisha Level 76*	Quest Monster	FF8000
27228	Archon of Halisha Level 76*	Quest Monster	FF8000
27229	Archon of Halisha Level 76*	Quest Monster	FF8000
27230	Archon of Halisha Level 76*	Quest Monster	FF8000
27231	Archon of Halisha Level 76*	Quest Monster	FF8000
27232	Archon of Halisha Level 76*	Quest Monster	FF8000
27233	Archon of Halisha Level 76*	Quest Monster	FF8000
27234	Archon of Halisha Level 76*	Quest Monster	FF8000
27235	Archon of Halisha Level 76*	Quest Monster	FF8000
27236	Archon of Halisha Level 76*	Quest Monster	FF8000
27237	Archon of Halisha Level 76*	Quest Monster	FF8000
27238	Archon of Halisha Level 76*	Quest Monster	FF8000
27239	Archon of Halisha Level 76*	Quest Monster	FF8000
27240	Archon of Halisha Level 76*	Quest Monster	FF8000
27241	Archon of Halisha Level 76*	Quest Monster	FF8000
27242	Archon of Halisha Level 76*	Quest Monster	FF8000
27243	Archon of Halisha Level 76*	Quest Monster	FF8000
27244	Archon of Halisha Level 76*	Quest Monster	FF8000
27245	Archon of Halisha Level 76*	Quest Monster	FF8000
27246	Archon of Halisha Level 76*	Quest Monster	FF8000
27247	Archon of Halisha Level 76*	Quest Monster	FF8000
27248	Archon of Halisha Level 76*	Quest Monster	FF8000
27249	Archon of Halisha Level 76*	Quest Monster	FF8000
27250	Fallen Angel Allector Level 76*	Quest Monster	FF8000
27251	Fallen Angel Allector Level 76*	Quest Monster	FF8000
27252	Fallen Angel Allector Level 76*	Quest Monster	FF8000
27253	Hell Fire Level 76*	Quest Monster	FF8000
27254	Unknown Stopper Level 81*	Quest Monster	FF8000
27255	Unknown Stopper Level 81*	Quest Monster	FF8000
27256	Unknown Stopper Level 81*	Quest Monster	FF8000
27257	Archangel Iconoclasis Level 76	Quest Monster	FF8000
27258	Archangel Iconoclasis Level 76	Quest Monster	FF8000
27259	Archangel Iconoclasis Level 76	Quest Monster	FF8000
27260	Archangel Iconoclasis Level 76	Quest Monster	FF8000
27261	Bead of Sacred Flame	Quest Monster	FF8000
27262	Death Lord Hallate	Quest Monster	FF8000
27263	Death Lord Hallate	Quest Monster	FF8000
27264	Death Lord Hallate	Quest Monster	FF8000
27265	Lich King Icarus	Quest Monster	FF8000
27266	Fallen Angel Haures	Quest Monster	FF8000
27267	Fallen Angel Haures	Quest Monster	FF8000
27268	Guard of Haures	Quest Monster	FF8000
27269	Fallen Angel Naverius	Quest Monster	FF8000
27270	Fallen Angel Naverius	Quest Monster	FF8000
27271	Chimera Golem	Quest Monster	FF8000
27272	Hallate's Dancer Lillian	Quest Monster	FF8000
27273	Assassin Pezel Level 81*	Quest Monster	FF8000
27274	Fallen Angel Tanakia Level 81*	Quest Monster	FF8000
27275	Fallen Angel Tanakia Level 81*	Quest Monster	FF8000
27276	Fallen Angel Tanakia Level 81*	Quest Monster	FF8000
27277	Fallen Angel Tanakia Level 81*	Quest Monster	FF8000
27278	Shadow of Beleth	Quest Monster	FF8000
27279	Cursed Kesadein	Quest Monster	FF8000
27280	Fallen Angel Narcissus	Quest Monster	FF8000
27281	Fallen Angel Metellus	Quest Monster	FF8000
27282	Dark Angel Othiel	Quest Monster	FF8000
27283	Grandpapa Askalius	Quest Monster	FF8000
27284	Flame Evil Spirit Azira	Quest Monster	FF8000
27285	Lizard's Totem Sharuhi	Quest Monster	FF8000
27286	Fallen Knight Adhil	Quest Monster	FF8000
27287	Bound Elf Panacea	Quest Monster	FF8000
27288	Sword Player Biel	Quest Monster	FF8000
27289	Ancient Sword Master Iron	Quest Monster	FF8000
27290	"White Wing Commander"	Quest Monster	FF8000
27291	White Wing Fighter	Quest Monster	FF8000
27292	Fallen Noble Orc Muhark	Quest Monster	FF8000
27293	Khavatari Uruz	Quest Monster	FF8000
27294	Overlord Atrus	Quest Monster	FF8000
27295	Sharuhi Mouth Mudaha	Quest Monster	FF8000
27296	Monument Watcher Ezekiel Level 76	Quest Monster	FF8000
27297	Monument Watcher Ezekiel Level 76	Quest Monster	FF8000
27298	Monument Watcher Ezekiel Level 76	Quest Monster	FF8000
27299	Monument Watcher Ezekiel Level 76	Quest Monster	FF8000
27300	Monument Watcher Ezekiel Level 76	Quest Monster	FF8000
27301	Monument Watcher Ezekiel Level 76	Quest Monster	FF8000
27302	Monument Defender Azrael Level 81*	Quest Monster	FF8000
27303	Monument Defender Azrael Level 81*	Quest Monster	FF8000
27304	Monument Defender Azrael Level 81*	Quest Monster	FF8000
27305	Monument Defender Azrael Level 81*	Quest Monster	FF8000
27306	Monument Defender Azrael Level 81*	Quest Monster	FF8000
27307	Monument Defender Azrael Level 81*	Quest Monster	FF8000
27308	Assassin Frost Level 81*	Quest Monster	FF8000
27309	Minervia Van Hacken Level 81*	Quest Monster	FF8000
27310	Kitanis Van Hacken Level 81*	Quest Monster	FF8000
27311	Judgment Hound Dog Kelvas Level 81*	Quest Monster	FF8000
27312	Mysterious Servitor Level 81*	Quest Monster	FF8000
27313	Vision Guardian Shakiel Level 76	Quest Monster	FF8000
27314	Vision Guardian Shakiel Level 76	Quest Monster	FF8000
27315	Vision Guardian Shakiel Level 76	Quest Monster	FF8000
27316	Fallen Chieftain Vegus Level 55	Quest Monster	FF8000
27317	Restrainer of Glory Level 70	Quest Monster	FF8000
27318	Wendy's Guardian Level 46	Quest Monster	FF8000
27319	Black Leopard Level 18	Quest Monster	FF8000
27320	Timora Orc Level 20	Quest Monster	FF8000
27321	Bruin Lizardman Level 20	Quest Monster	FF8000
27322	Picot Araneid Level 27	Quest Monster	FF8000
27323	Divine Emissary Level 1	Quest Monster	FF8000
27324	Vision Guard Eranus Level 1	Quest Monster	FF8000
27325	Archon of Halisha Level 1	Quest Monster	FF8000
27326	Archangel Kanriel Level 1	Quest Monster	FF8000
27327	Zakorel's Executor Level 1	Quest Monster	FF8000
27328	Zakorel Level 1	Quest Monster	FF8000
27329	Archon of Halisha Level 1	Quest Monster	FF8000
27332	Guardian Angel	Quest Monster	FF8000
27333	Crimson Duchess	Quest Monster	FF8000
27334	Archon of Halisha	Quest Monster	FF8000
27335	Dark Angel Othiel	Quest Monster	FF8000
27336	Crimson Lady	Quest Monster	FF8000
27337	Ol Mahum Officer Tak	Quest Monster	FF8000
27338	Fallen Angel	Quest Monster	FF8000
27339	Cruma Marshlands Traitor	Quest Monster	FF8000
27340	Pursuer		A9E89C
27341	Shilen's Evil Thoughts		A9E89C
27342	Shilen's Evil Thoughts		A9E89C
27343	Shilen's Evil Thoughts		A9E89C
27344	Shilen's Evil Thoughts		A9E89C
27345	Shilen's Evil Thoughts		A9E89C
27346	Shilen's Evil Thoughts		A9E89C
27347	Guards of the Dawn Oracle		A9E89C
27348	Guards of the Dawn Oracle		A9E89C
27349	Guards of the Dawn Oracle		A9E89C
27350	Guards of the Dawn Oracle		A9E89C
27351	Guards of the Dawn Oracle		A9E89C
27352	Guards of the Dawn Oracle		A9E89C
27353	Lilim Butcher		A9E89C
27354	Lilim Magus		A9E89C
27355	Lilim Slave Knight		A9E89C
27356	Lilim Stabber		A9E89C
27357	Lilim Seer		A9E89C
27358	Lilim Knight		A9E89C
27359	Lilim Assassin		A9E89C
27360	Lilim Great Magus		A9E89C
27361	Lilim Guard Knight		A9E89C
27362	Lilim Butcher		A9E89C
27363	Lilim Magus		A9E89C
27364	Lilim Slave Knight		A9E89C
27365	Lilim Stabber		A9E89C
27366	Lilim Seer		A9E89C
27367	Lilim Knight		A9E89C
27368	Lilim Assassin		A9E89C
27369	Lilim Great Magus		A9E89C
27370	Lilim Guard Knight		A9E89C
27371	Lilim Butcher		A9E89C
27372	Lilim Magus		A9E89C
27373	Lilim Slave Knight		A9E89C
27374	Lilim Stabber		A9E89C
27375	Lilim Seer		A9E89C
27376	Lilim Knight		A9E89C
27377	Lilim Assassin		A9E89C
27378	Lilim Great Magus		A9E89C
27379	Lilim Guard Knight		A9E89C
27380	Reckless Sprite of Water	Quest Monster	A9E89C
27381	Reckless Sprite of Air	Quest Monster	A9E89C
27382	Power of Seal Isolation		A9E89C
27383	Power of Seal Isolation		A9E89C
27384	Seal Device	Emperor Shunaiman's	A9E89C
27385	Lilith	Holy Mother of Abyss	A9E89C
27386	Lilith's Steward		A9E89C
27387	Lilith's Elite		A9E89C
27388	Anakim	Flames of Sacred Fire	A9E89C
27389	Anakim's Guardian		A9E89C
27390	Anakim's Guard		A9E89C
27391	Anakim's Executor		A9E89C
27392	Bloody Axe Aide		A9E89C
27393	Headless Knight		A9E89C
27394	Shilen's Evil Thoughts		A9E89C
27395	Shilen's Evil Thoughts		A9E89C
27396	Shilen's Evil Thoughts		A9E89C
27397	Shilen's Evil Thoughts		A9E89C
27398	Shilen's Evil Thoughts		A9E89C
27399	Shilen's Evil Thoughts		A9E89C
27400	Shilen's Evil Thoughts		A9E89C
27401	Shilen's Evil Thoughts		A9E89C
27402	Shilen's Evil Thoughts		A9E89C
30001	Lector	Trader	A9E89C
30002	Jackson	Trader	A9E89C
30003	Silvia	Trader	A9E89C
30004	Katerina	Trader	A9E89C
30005	Wilford	Warehouse Keeper	A9E89C
30006	Roxxy	Gatekeeper	A9E89C
30008	Roien	Grand Master	A9E89C
30009	Newbie Helper		A9E89C
30010	Auron	Master	A9E89C
30014	Celma	Master	A9E89C
30017	Gallint	Grand Magister	A9E89C
30019	Newbie Helper		A9E89C
30022	Zigaunt	Priest	A9E89C
30026	Bitz	Grand Master	A9E89C
30027	Gwinter	Master	A9E89C
30028	Pintage	Master	A9E89C
30029	Minia	Master	A9E89C
30030	Vivyan	Priestess	A9E89C
30031	Biotin	High Priest	A9E89C
30032	Yohanes	Priest	A9E89C
30033	Baulro	Magister	A9E89C
30034	Iris	Magister	A9E89C
30035	Harrys	Magister	A9E89C
30036	Petron	Priest	A9E89C
30037	Levian	High Priestess	A9E89C
30039	Gilbert	Captain	A9E89C
30040	Leon	Guard	A9E89C
30041	Arnold	Guard	A9E89C
30042	Abellos	Guard	A9E89C
30043	Johnstone	Guard	A9E89C
30044	Chiperan	Guard	A9E89C
30045	Kenyos	Guard	A9E89C
30046	Hanks	Guard	A9E89C
30047	Firon	"Wharf Manager"	A9E89C
30048	Darin		A9E89C
30049	Bonnie		A9E89C
30050	Elias		A9E89C
30051	Cristel		A9E89C
30054	Rant	Warehouse Freightman	A9E89C
30055	Rolfe	Warehouse Keeper	A9E89C
30057	Aldo	Warehouse Freightman	A9E89C
30058	Holvas	Warehouse Keeper	A9E89C
30059	Trisha	Gatekeeper	A9E89C
30060	Sabrin	Trader	A9E89C
30061	Casey	Trader	A9E89C
30062	Sonia	Trader	A9E89C
30063	Lara	Trader	A9E89C
30064	Terry	Master	A9E89C
30065	Arnelle	Master	A9E89C
30066	Pabris	Grand Master	A9E89C
30067	Glyvka	Priestess	A9E89C
30068	Shegfield	Priest	A9E89C
30069	Rollant	Magister	A9E89C
30070	Sylvain	High Priest	A9E89C
30071	Lucas	Captain	A9E89C
30072	Metty	Guard	A9E89C
30073	Jacob	Guard	A9E89C
30074	Harlan	Guard	A9E89C
30075	Xaber	Guard	A9E89C
30076	Liam	Guard	A9E89C
30078	Pano	Grocer	A9E89C
30079	Barder	Warehouse Freightman	A9E89C
30080	Clarissa	Gatekeeper	A9E89C
30081	Helvetia	Grocer	A9E89C
30082	Denkus	Grocer	A9E89C
30083	Pochi	Warehouse Keeper	A9E89C
30084	Graham	Weapons Trader	A9E89C
30085	Stanford	Weapons Trader	A9E89C
30086	Taurin	Warehouse Keeper	A9E89C
30087	Peta	Armor Trader	A9E89C
30088	Radia	Armor Trader	A9E89C
30090	Sandra	"Jeweler"	A9E89C
30091	Ellie	"Jeweler"	A9E89C
30092	Collob	Warehouse Keeper	A9E89C
30093	Groot	Magic Trader	A9E89C
30094	Gentler	Magic Trader	A9E89C
30095	Randolf	Warehouse Keeper	A9E89C
30097	Galladucci	Trader	A9E89C
30098	Alexandria	Trader	A9E89C
30103	Valkon	Warehouse Keeper	A9E89C
30104	Parman	Warehouse Freightman	A9E89C
30105	Genwitter	Master	A9E89C
30106	Dufner	Master	A9E89C
30107	Goldian	Master	A9E89C
30108	Macken	Master	A9E89C
30109	Hannavalt	Grand Master	A9E89C
30110	Iker	Magister	A9E89C
30111	Dieter	Magister	A9E89C
30112	Maurius	Magister	A9E89C
30113	Juris	Magister	A9E89C
30114	Roa	Magister	A9E89C
30115	Jurek	Grand Magister	A9E89C
30116	Dustin	Priest	A9E89C
30117	Primos	Priest	A9E89C
30118	Pupina	Priestess	A9E89C
30119	Isabellin	Priestess	A9E89C
30120	Maximilian	High Priest	A9E89C
30121	Jeronin	Captain	A9E89C
30122	Bane	Guard	A9E89C
30123	Vesa	Guard	A9E89C
30124	Zerome	Guard	A9E89C
30125	Belton	Guard	A9E89C
30126	Rath	Guard	A9E89C
30128	Atanas	Guard	A9E89C
30129	Mitraell	"Hierarch"	A9E89C
30130	Undrias	Abyssal Celebrant	A9E89C
30131	Newbie Helper		A9E89C
30132	Cecktinon	Abyssal Celebrant	A9E89C
30133	Kartia	Abyssal Celebrant	A9E89C
30134	Jasmine	Gatekeeper	A9E89C
30135	Iria	Trader	A9E89C
30136	Payne	Trader	A9E89C
30137	Vollodos	Trader	A9E89C
30138	Minaless	Trader	A9E89C
30139	Dorankus	Warehouse Keeper	A9E89C
30140	Erviante	Warehouse Keeper	A9E89C
30141	Talloth	"Tetrarch"	A9E89C
30143	Trudy	Master	A9E89C
30144	Harne	Magister	A9E89C
30145	Vlasty	Magister	A9E89C
30146	Mirabel	Gatekeeper	A9E89C
30147	Unoren	Trader	A9E89C
30148	Ariel	Trader	A9E89C
30149	Creamees	Trader	A9E89C
30150	Herbiel	Trader	A9E89C
30151	Chad	Warehouse Freightman	A9E89C
30152	Julia	Warehouse Keeper	A9E89C
30153	Markius	Warehouse Keeper	A9E89C
30154	Asterios	"Hierarch"	A9E89C
30155	Ellenia	Master	A9E89C
30156	Cobendell	Master	A9E89C
30157	Greenis	Magister	A9E89C
30158	Esrandell	Magister	A9E89C
30162	Karin	Gatekeeper	A9E89C
30163	Rex	Trader	A9E89C
30164	Ian	Trader	A9E89C
30165	Ralford	Trader	A9E89C
30166	Wesley	Magic Trader	A9E89C
30169	Marty	Warehouse Freightman	A9E89C
30170	Radic	Warehouse Keeper	A9E89C
30171	Gaius	Magister	A9E89C
30174	Arkenias	Grand Magister	A9E89C
30175	Fairen	Grand Magister	A9E89C
30176	Valleria	Grand Magister	A9E89C
30177	Valentina	Gatekeeper	A9E89C
30178	Zenkin	Trader	A9E89C
30179	Raudia	Trader	A9E89C
30180	Sara	Trader	A9E89C
30181	Galibredo	Trader	A9E89C
30182	Cliff	Warehouse Freightman	A9E89C
30183	Hagger	Warehouse Keeper	A9E89C
30184	Rigol	Master	A9E89C
30185	Taniac Blackbird	Master	A9E89C
30186	Bhan	Master	A9E89C
30187	Klaus Blackbird	Grand Master	A9E89C
30188	Vadin	Priest	A9E89C
30189	Rovia	Magister	A9E89C
30190	Phanovia	Magister	A9E89C
30191	Hollint	High Priest	A9E89C
30192	Darya	Master	A9E89C
30194	Gideon	Magister	A9E89C
30195	Brecson	Grand Master	A9E89C
30196	Mouen	Captain	A9E89C
30197	Hector	Guard	A9E89C
30198	Jerin	Guard	A9E89C
30199	Yates	Guard	A9E89C
30200	Stan	Guard	A9E89C
30201	Pinaps	Guard	A9E89C
30207	Arodin	Trader	A9E89C
30208	Damion	Trader	A9E89C
30209	Colleen	Trader	A9E89C
30210	Norman	Warehouse Keeper	A9E89C
30216	Wheeler	Sentinel	A9E89C
30217	Berros	Sentinel	A9E89C
30218	Kendell	Sentinel	A9E89C
30219	Veltress	Sentinel	A9E89C
30220	Starden	Sentinel	A9E89C
30221	Rayen	Sentinel	A9E89C
30222	Alshupes		A9E89C
30223	Arujien		A9E89C
30224	Rayla	"Sentry Knight"	A9E89C
30230	Edroc	Trader	A9E89C
30231	Garette	Trader	A9E89C
30232	Sorint	Warehouse Keeper	A9E89C
30233	Esmeralda	Gatekeeper	A9E89C
30253	Simplon	Trader	A9E89C
30254	Harmony	Trader	A9E89C
30255	Haprock	Warehouse Keeper	A9E89C
30256	Bella	Gatekeeper	A9E89C
30283	Altran	Blacksmith	A9E89C
30284	Alberius	Sentinel Knight	A9E89C
30285	Gartrandell	Sentinel	A9E89C
30288	Rains	Grand Master	A9E89C
30289	Raymond	High Priest	A9E89C
30290	Xenos	Grand Master	A9E89C
30291	Alex	Captain	A9E89C
30293	Manuel	Priest	A9E89C
30294	Varan	Trader	A9E89C
30297	Tobias	Grand Master	A9E89C
30298	Pinter	Blacksmith	A9E89C
30300	Pushkin	Blacksmith	A9E89C
30301	Hally	Trader	A9E89C
30305	Vellior	Tetrarch	A9E89C
30307	Karrod	Blacksmith	A9E89C
30311	Sir Collin Windawood		A9E89C
30312	Rockswell	Lighthouse Keeper	A9E89C
30313	Asha	Trader	A9E89C
30314	Nestle	Trader	A9E89C
30315	Poesia	Trader	A9E89C
30316	Raut	Warehouse Freightman	A9E89C
30317	Kluto	Blacksmith	A9E89C
30320	Richlin	Gatekeeper	A9E89C
30321	Sydnia	Trader	A9E89C
30322	Ballin	Warehouse Freightman	A9E89C
30325	Audiberti	Master	A9E89C
30326	Leona	Master	A9E89C
30327	Sorius	Master	A9E89C
30328	Reisa	Master	A9E89C
30329	Virgil	Master	A9E89C
30330	Sidra	Magister	A9E89C
30331	Thoma	Guard	A9E89C
30332	Bathis	Captain	A9E89C
30333	Praga	Guard	A9E89C
30334	Babenco	Guard	A9E89C
30335	Brynn	Guard	A9E89C
30336	Curtis	Guard	A9E89C
30337	Moretti	Guard	A9E89C
30338	Melville	Guard	A9E89C
30342	Varsak		A9E89C
30344	Rohmer	Magister	A9E89C
30345	Ramoniell	Magister	A9E89C
30346	Kayleen	Sentry	A9E89C
30347	Marion	Sentry	A9E89C
30348	Nelsya	Sentry	A9E89C
30349	Jenna	Sentry	A9E89C
30350	Carlon	Warehouse Freightman	A9E89C
30351	Astaron		A9E89C
30352	Karina		A9E89C
30353	Jughead		A9E89C
30354	Jewel		A9E89C
30355	Roselyn	Sentry	A9E89C
30356	Altima	Sentry	A9E89C
30357	Kristin	Sentry	A9E89C
30358	Thifiell	Tetrarch	A9E89C
30359	Kaitar	Tetrarch	A9E89C
30360	Harant	Master	A9E89C
30361	Rizraell		A9E89C
30362	Andellia		A9E89C
30363	Aios	Blacksmith	A9E89C
30368	Lilith		A9E89C
30369	Baenedes	Master	A9E89C
30370	Nerupa		A9E89C
30371	Thalia		A9E89C
30373	Ramos	Grand Master	A9E89C
30374	Rhodiell	Master	A9E89C
30375	Adonius	Priest	A9E89C
30376	Nell	Magister	A9E89C
30377	Talbot	Magister	A9E89C
30378	Estella	Master	A9E89C
30379	Bezique	Captain	A9E89C
30380	Plink	Guard	A9E89C
30381	Alvah	Guard	A9E89C
30382	Leikan	Guard	A9E89C
30383	Scott	Guard	A9E89C
30384	Linus	Guard	A9E89C
30385	Weisz	Guard	A9E89C
30386	Luis	Guard	A9E89C
30387	Clancy	"Wharf Manager"	A9E89C
30391	Parina		A9E89C
30400	Newbie Helper		A9E89C
30401	Newbie Helper		A9E89C
30402	Newbie Helper		A9E89C
30403	Newbie Helper		A9E89C
30404	Newbie Helper		A9E89C
30405	Marius		A9E89C
30406	Matheo		A9E89C
30407	Mesella		A9E89C
30408	Lionel		A9E89C
30409	Earth Snake		A9E89C
30410	Wasteland Lizardman		A9E89C
30411	Flame Salamander		A9E89C
30412	Wind Sylph		A9E89C
30413	Water Undine		A9E89C
30414	Rosella		A9E89C
30415	Charkeren		A9E89C
30416	Triskel		A9E89C
30417	Sir Klaus Vasper		A9E89C
30418	Annika		A9E89C
30419	Arkenia	Witch	A9E89C
30420	Tyra		A9E89C
30421	Varika	Witch	A9E89C
30422	Kalinta	"Abyssal Celebrant"	A9E89C
30423	Northwind		A9E89C
30424	Allana		A9E89C
30425	Neti		A9E89C
30426	Prias		A9E89C
30427	Siff	Gatekeeper	A9E89C
30428	Perrin		A9E89C
30429	Tiramisa	Gatekeeper	A9E89C
30430	Trionell	Sentinel	A9E89C
30431	Eriel	Sentinel	A9E89C
30432	Irene	Sentry	A9E89C
30433	Kathaway	Sentry	A9E89C
30434	Samed		A9E89C
30435	Leopold		A9E89C
30436	Sarien	Trader	A9E89C
30437	Rolento	Trader	A9E89C
30452	Kurt	Guard	A9E89C
30458	Poitan	Blacksmith	A9E89C
30459	Wandius	Master	A9E89C
30460	Cardien	Master	A9E89C
30461	Mirien	Magister	A9E89C
30462	Tronix	Grand Master	A9E89C
30463	Ixia	Master	A9E89C
30464	Clayton	Magister	A9E89C
30465	Herven	Guard	A9E89C
30466	Bright	Guard	A9E89C
30469	Jonas		A9E89C
30471	Rupio	Blacksmith	A9E89C
30472	Rosheria	Master	A9E89C
30473	Bandellos	Priest	A9E89C
30474	Angus	Grand Master	A9E89C
30475	Stapin	Master	A9E89C
30476	Kaira	Magister	A9E89C
30477	Sir Ortho Lancer		A9E89C
30478	Reikin	Guard	A9E89C
30483	Mozella	Gatekeeper	A9E89C
30484	Ponti	Gatekeeper	A9E89C
30485	Capella	Gatekeeper	A9E89C
30486	Hanna	Gatekeeper	A9E89C
30487	Penelope	Gatekeeper	A9E89C
30497	Edmond		A9E89C
30498	Moke	"Warehouse Chief"	A9E89C
30499	Tapoy	Head Blacksmith	A9E89C
30500	Osborn	"High Prefect"	A9E89C
30501	Kasman	Prefect	A9E89C
30502	Umos	Seer	A9E89C
30503	Rikadio	"Warehouse Chief"	A9E89C
30504	Mendio	Head Blacksmith	A9E89C
30505	Drikus	"High Prefect"	A9E89C
30506	Buka	Prefect	A9E89C
30507	Racoy	Seer	A9E89C
30508	Castor	"High Prefect"	A9E89C
30509	Dowki	Prefect	A9E89C
30510	Somak	Seer	A9E89C
30511	Gesto	"Warehouse Chief"	A9E89C
30512	Kusto	Head Blacksmith	A9E89C
30513	Penatus	"High Prefect"	A9E89C
30514	Vokian	Prefect	A9E89C
30515	Manakia	Seer	A9E89C
30516	Reep	Trader	A9E89C
30517	Shari	Trader	A9E89C
30518	Garita	Trader	A9E89C
30519	Mion	Trader	A9E89C
30520	Reed	"Warehouse Chief"	A9E89C
30521	Murdoc	Warehouse Freightman	A9E89C
30522	Airy	Warehouse Keeper	A9E89C
30523	Gouph	Collector	A9E89C
30524	Pippi	Collector	A9E89C
30525	Bronk	Head Blacksmith	A9E89C
30526	Brunon	Blacksmith	A9E89C
30527	Silvera	Blacksmith	A9E89C
30528	Laferon	Foreman	A9E89C
30529	Maron	Miner	A9E89C
30530	Newbie Helper		A9E89C
30531	Lockirin	Iron Gate's	A9E89C
30532	Spiron	Golden Wheel's	A9E89C
30533	Balanki	Silver Scale's	A9E89C
30534	Keef	Bronze Key's	A9E89C
30535	Filaur	Gray Pillar Member	A9E89C
30536	Arin	Black Anvil's	A9E89C
30537	Daichir	Priest of the Earth	A9E89C
30538	Zimenf	Priest of the Earth	A9E89C
30539	Chichirin	Priestess of the Earth	A9E89C
30540	Wirphy	Gatekeeper	A9E89C
30541	Paion	Protector	A9E89C
30542	Runant	Defender	A9E89C
30543	Ethan	Defender	A9E89C
